company,ticker
Алроса,ALRS
Аэрофлот,AFLT
Аэрофлота,AFLT
Аэрофлоте,AFLT
Аэрофлотом,AFLT
Аэрофлоту,AFLT
Газпром,GAZP
Газпрома,GAZP
Газпроме,GAZP
Газпромом,GAZP
Газпрому,GAZP
ИнтерРао,IRAO
ЛСР,LSRG
Ленэнерго,LSNG
Лукойл,LKOH
Лукойла,LKOH
Лукойле,LKOH
Лукойлом,LKOH
Лукойлу,LKOH
МТС-Банк,MBSB
Магнит,MGNT
Магнита,MGNT
Магните,MGNT
Магнитом,MGNT
Магниту,MGNT
МосБиржа,MOEX
МосБирже,MOEX
МосБиржей,MOEX
МосБиржи,MOEX
Новатек,NVTK
Новатека,NVTK
Новатеке,NVTK
Новатеком,NVTK
Новатеку,NVTK
Норникеле,GMKN
Норникелем,GMKN
Норникель,GMKN
Норникелю,GMKN
Норникеля,GMKN
Позитив,POSI
Полюс,PLZL
Полюса,PLZL
Полюсе,PLZL
Полюсом,PLZL
Полюсу,PLZL
Самолет,SMLT
Сбербанк,SBER
Сбербанка,SBER
Сбербанке,SBER
Сбербанком,SBER
Сбербанку,SBER
Совкомбанк,SVKB
Сургутнефтегаз,SNGS
Т-Банк,TBANK
Х5,FIVE
Хэд Хантер,HHRU
Южуралзолота,UGOLD
Яндекс,YNDX
Яндекса,YNDX
Яндексе,YNDX
Яндексом,YNDX
Яндексу,YNDX
